anchor_p,actual_offset,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected,candidate_bound_miss
100000007,30,273,219,54,1,53,False,False,False,False
100000037,2,273,272,1,1,0,True,True,False,False
100000039,10,273,219,54,1,53,False,False,False,False
100000049,24,273,220,53,1,52,False,False,False,False
100000073,8,272,218,54,1,53,False,False,False,False
100000081,42,272,219,53,1,52,False,False,False,False
100000123,4,273,217,56,1,55,False,False,False,False
100000127,66,273,218,55,1,54,False,False,False,False
100000193,20,272,213,59,1,58,False,False,False,False
100000213,4,273,270,3,1,2,False,False,False,False
100000217,6,273,271,2,1,1,False,False,False,False
100000223,8,272,271,1,1,0,True,True,False,False
100000231,6,272,215,57,1,56,False,False,False,False
100000237,22,273,217,56,1,55,False,False,False,False
100000259,8,273,218,55,1,54,False,False,False,False
100000267,12,273,219,54,1,53,False,False,False,False
100000279,78,273,219,54,1,53,False,False,False,False
100000357,22,273,216,57,1,56,False,False,False,False
100000379,14,273,216,57,1,56,False,False,False,False
100000393,6,273,272,1,1,0,True,True,False,False
100000399,22,273,218,55,1,54,False,False,False,False
100000421,8,273,218,55,1,54,False,False,False,False
100000429,34,273,218,55,1,54,False,False,False,False
100000463,6,272,217,55,1,54,False,False,False,False
100000469,2,273,272,1,1,0,True,True,False,False
100000471,22,272,219,53,1,52,False,False,False,False
100000493,48,272,219,53,1,52,False,False,False,False
100000541,2,273,272,1,1,0,True,True,False,False
100000543,18,273,220,53,1,52,False,False,False,False
100000561,6,272,271,1,1,0,True,True,False,False
100000567,10,273,219,54,1,53,False,False,False,False
100000577,32,273,220,53,1,52,False,False,False,False
100000609,18,273,219,54,1,53,False,False,False,False
100000627,16,273,219,54,1,53,False,False,False,False
100000643,8,272,271,1,1,0,True,True,False,False
100000651,10,272,219,53,1,52,False,False,False,False
100000661,8,273,271,2,1,1,False,False,False,False
100000669,4,273,272,1,1,0,True,True,False,False
100000673,14,272,220,52,1,51,False,False,False,False
100000687,30,273,222,51,1,50,False,False,False,False
100000717,4,273,272,1,1,0,True,True,False,False
100000721,72,273,223,50,1,49,False,False,False,False
100000793,6,272,216,56,1,55,False,False,False,False
100000799,2,273,272,1,1,0,True,True,False,False
100000801,36,272,216,56,1,55,False,False,False,False
100000837,4,273,272,1,1,0,True,True,False,False
100000841,12,273,217,56,1,55,False,False,False,False
100000853,38,272,217,55,1,54,False,False,False,False
100000891,30,272,215,57,1,56,False,False,False,False
100000921,16,272,214,58,1,57,False,False,False,False
100000937,2,273,272,1,1,0,True,True,False,False
100000939,24,273,217,56,1,55,False,False,False,False
100000963,6,273,272,1,1,0,True,True,False,False
100000969,60,273,217,56,1,55,False,False,False,False
100001029,24,273,213,60,1,59,False,False,False,False
100001053,6,273,213,60,1,59,False,False,False,False
100001059,22,273,214,59,1,58,False,False,False,False
100001081,6,273,272,1,1,0,True,True,False,False
100001087,20,273,215,58,1,57,False,False,False,False
100001107,12,273,214,59,1,58,False,False,False,False
100001119,12,273,214,59,1,58,False,False,False,False
100001131,16,272,214,58,1,57,False,False,False,False
100001147,12,273,213,60,1,59,False,False,False,False
100001159,18,273,212,61,1,60,False,False,False,False
100001177,6,273,213,60,1,59,False,False,False,False
100001183,20,272,213,59,1,58,False,False,False,False
100001203,4,273,272,1,1,0,True,True,False,False
100001207,12,273,215,58,1,57,False,False,False,False
100001219,8,273,215,58,1,57,False,False,False,False
100001227,76,273,215,58,1,57,False,False,False,False
100001303,26,272,212,60,1,59,False,False,False,False
100001329,4,273,272,1,1,0,True,True,False,False
100001333,14,272,212,60,1,59,False,False,False,False
100001347,10,273,214,59,1,58,False,False,False,False
100001357,42,273,215,58,1,57,False,False,False,False
100001399,32,273,214,59,1,58,False,False,False,False
100001431,18,272,212,60,1,59,False,False,False,False
100001449,18,273,214,59,1,58,False,False,False,False
100001467,40,273,215,58,1,57,False,False,False,False
100001507,26,273,212,61,1,60,False,False,False,False
100001533,4,273,272,1,1,0,True,True,False,False
100001537,32,273,213,60,1,59,False,False,False,False
100001569,12,273,210,63,1,62,False,False,False,False
100001581,10,272,271,1,1,0,True,True,False,False
100001591,20,273,210,63,1,62,False,False,False,False
100001611,12,272,209,63,1,62,False,False,False,False
100001623,28,273,209,64,1,63,False,False,False,False
100001651,2,273,272,1,1,0,True,True,False,False
100001653,34,273,208,65,1,64,False,False,False,False
100001687,2,273,272,1,1,0,True,True,False,False
100001689,30,273,210,63,1,62,False,False,False,False
100001719,42,273,210,63,1,62,False,False,False,False
100001761,6,272,208,64,1,63,False,False,False,False
100001767,10,273,272,1,1,0,True,True,False,False
100001777,14,273,210,63,1,62,False,False,False,False
100001791,10,272,210,62,1,61,False,False,False,False
100001801,8,273,212,61,1,60,False,False,False,False
100001809,4,273,272,1,1,0,True,True,False,False
100001813,6,272,270,2,1,1,False,False,False,False
100001819,2,273,272,1,1,0,True,True,False,False
100001821,6,272,214,58,1,57,False,False,False,False
100001827,16,273,216,57,1,56,False,False,False,False
100001843,44,272,215,57,1,56,False,False,False,False
100001887,6,273,272,1,1,0,True,True,False,False
100001893,10,273,217,56,1,55,False,False,False,False
100001903,24,272,217,55,1,54,False,False,False,False
100001927,2,273,272,1,1,0,True,True,False,False
100001929,54,273,217,56,1,55,False,False,False,False
100001983,4,273,272,1,1,0,True,True,False,False
100001987,24,273,216,57,1,56,False,False,False,False
100002011,2,273,272,1,1,0,True,True,False,False
100002013,4,273,272,1,1,0,True,True,False,False
100002017,14,273,217,56,1,55,False,False,False,False
100002031,6,272,271,1,1,0,True,True,False,False
100002037,22,273,219,54,1,53,False,False,False,False
100002059,44,273,219,54,1,53,False,False,False,False
100002103,10,273,219,54,1,53,False,False,False,False
100002113,14,272,219,53,1,52,False,False,False,False
100002127,12,273,220,53,1,52,False,False,False,False
100002139,24,273,219,54,1,53,False,False,False,False
100002163,4,273,270,3,1,2,False,False,False,False
100002167,2,273,272,1,1,0,True,True,False,False
100002169,4,273,272,1,1,0,True,True,False,False
100002173,8,272,221,51,1,50,False,False,False,False
100002181,42,272,222,50,1,49,False,False,False,False
100002223,10,273,272,1,1,0,True,True,False,False
100002233,18,272,221,51,1,50,False,False,False,False
100002251,20,273,221,52,1,51,False,False,False,False
100002271,12,272,218,54,1,53,False,False,False,False
100002283,6,273,272,1,1,0,True,True,False,False
100002289,48,273,219,54,1,53,False,False,False,False
100002337,12,273,217,56,1,55,False,False,False,False
100002349,40,273,218,55,1,54,False,False,False,False
100002389,32,273,218,55,1,54,False,False,False,False
100002421,10,272,217,55,1,54,False,False,False,False
100002431,6,273,218,55,1,54,False,False,False,False
100002437,56,273,219,54,1,53,False,False,False,False
100002493,6,273,271,2,1,1,False,False,False,False
100002499,4,273,272,1,1,0,True,True,False,False
100002503,6,272,271,1,1,0,True,True,False,False
100002509,32,273,221,52,1,51,False,False,False,False
100002541,28,272,219,53,1,52,False,False,False,False
100002569,2,273,272,1,1,0,True,True,False,False
100002571,18,272,220,52,1,51,False,False,False,False
100002589,4,273,272,1,1,0,True,True,False,False
100002593,18,272,221,51,1,50,False,False,False,False
100002611,2,273,272,1,1,0,True,True,False,False
100002613,16,273,272,1,1,0,True,True,False,False
100002629,12,273,223,50,1,49,False,False,False,False
100002641,6,273,272,1,1,0,True,True,False,False
100002647,24,273,225,48,1,47,False,False,False,False
100002671,2,273,272,1,1,0,True,True,False,False
100002673,4,273,272,1,1,0,True,True,False,False
100002677,60,273,225,48,1,47,False,False,False,False
100002737,14,273,222,51,1,50,False,False,False,False
100002751,18,272,221,51,1,50,False,False,False,False
100002769,28,273,221,52,1,51,False,False,False,False
100002797,42,273,219,54,1,53,False,False,False,False
100002839,24,273,217,56,1,55,False,False,False,False
100002863,36,272,215,57,1,56,False,False,False,False
100002899,38,273,215,58,1,57,False,False,False,False
100002937,4,273,271,2,1,1,False,False,False,False
100002941,2,273,272,1,1,0,True,True,False,False
100002943,18,273,215,58,1,57,False,False,False,False
100002961,6,272,215,57,1,56,False,False,False,False
100002967,12,273,217,56,1,55,False,False,False,False
100002979,42,273,218,55,1,54,False,False,False,False
100003021,16,272,214,58,1,57,False,False,False,False
100003037,26,273,215,58,1,57,False,False,False,False
100003063,28,273,216,57,1,56,False,False,False,False
100003091,60,273,216,57,1,56,False,False,False,False
100003151,2,273,272,1,1,0,True,True,False,False
100003153,4,273,211,62,1,61,False,False,False,False
100003157,24,273,212,61,1,60,False,False,False,False
100003181,38,273,212,61,1,60,False,False,False,False
100003219,24,273,212,61,1,60,False,False,False,False
100003243,4,273,272,1,1,0,True,True,False,False
100003247,12,273,213,60,1,59,False,False,False,False
100003259,14,273,214,59,1,58,False,False,False,False
100003273,6,273,213,60,1,59,False,False,False,False
100003279,4,273,272,1,1,0,True,True,False,False
100003283,8,272,271,1,1,0,True,True,False,False
100003291,10,272,214,58,1,57,False,False,False,False
100003301,12,273,216,57,1,56,False,False,False,False
100003313,18,272,215,57,1,56,False,False,False,False
100003331,18,273,216,57,1,56,False,False,False,False
100003349,12,273,216,57,1,56,False,False,False,False
100003361,20,273,217,56,1,55,False,False,False,False
100003381,36,272,215,57,1,56,False,False,False,False
100003417,30,273,215,58,1,57,False,False,False,False
100003447,34,273,214,59,1,58,False,False,False,False
100003481,18,273,211,62,1,61,False,False,False,False
100003499,50,273,209,64,1,63,False,False,False,False
100003549,10,273,272,1,1,0,True,True,False,False
100003559,14,273,205,68,1,67,False,False,False,False
100003573,28,273,206,67,1,66,False,False,False,False
100003601,18,273,207,66,1,65,False,False,False,False
100003619,2,273,272,1,1,0,True,True,False,False
100003621,58,272,207,65,1,64,False,False,False,False
100003679,12,273,206,67,1,66,False,False,False,False
100003691,8,273,207,66,1,65,False,False,False,False
100003699,4,273,272,1,1,0,True,True,False,False
100003703,18,272,207,65,1,64,False,False,False,False
100003721,32,273,208,65,1,64,False,False,False,False
100003753,6,273,209,64,1,63,False,False,False,False
100003759,4,273,272,1,1,0,True,True,False,False
100003763,14,272,210,62,1,61,False,False,False,False
100003777,12,273,212,61,1,60,False,False,False,False
100003789,12,273,212,61,1,60,False,False,False,False
100003801,6,272,270,2,1,1,False,False,False,False
100003807,4,273,272,1,1,0,True,True,False,False
100003811,12,273,212,61,1,60,False,False,False,False
100003823,6,272,270,2,1,1,False,False,False,False
100003829,2,273,272,1,1,0,True,True,False,False
100003831,36,272,214,58,1,57,False,False,False,False
100003867,6,273,272,1,1,0,True,True,False,False
100003873,28,273,214,59,1,58,False,False,False,False
100003901,12,273,214,59,1,58,False,False,False,False
100003913,14,272,271,1,1,0,True,True,False,False
100003927,30,273,215,58,1,57,False,False,False,False
100003957,6,273,215,58,1,57,False,False,False,False
100003963,54,273,216,57,1,56,False,False,False,False
100004017,10,273,213,60,1,59,False,False,False,False
100004027,2,273,272,1,1,0,True,True,False,False
100004029,12,273,215,58,1,57,False,False,False,False
100004041,18,272,215,57,1,56,False,False,False,False
100004059,30,273,216,57,1,56,False,False,False,False
100004089,30,273,214,59,1,58,False,False,False,False
100004119,18,273,213,60,1,59,False,False,False,False
100004137,4,273,271,2,1,1,False,False,False,False
100004141,2,273,272,1,1,0,True,True,False,False
100004143,10,273,215,58,1,57,False,False,False,False
100004153,6,272,215,57,1,56,False,False,False,False
100004159,8,273,217,56,1,55,False,False,False,False
100004167,22,273,218,55,1,54,False,False,False,False
100004189,54,273,217,56,1,55,False,False,False,False
100004243,20,272,214,58,1,57,False,False,False,False
100004263,24,273,215,58,1,57,False,False,False,False
100004287,4,273,272,1,1,0,True,True,False,False
100004291,18,273,215,58,1,57,False,False,False,False
100004309,18,273,214,59,1,58,False,False,False,False
100004327,20,273,214,59,1,58,False,False,False,False
100004347,16,273,215,58,1,57,False,False,False,False
100004363,26,272,213,59,1,58,False,False,False,False
100004389,4,273,272,1,1,0,True,True,False,False
100004393,14,272,213,59,1,58,False,False,False,False
100004407,10,273,213,60,1,59,False,False,False,False
100004417,32,273,213,60,1,59,False,False,False,False
100004449,12,273,208,65,1,64,False,False,False,False
100004461,12,272,208,64,1,63,False,False,False,False
100004473,4,273,210,63,1,62,False,False,False,False
100004477,24,273,211,62,1,61,False,False,False,False
100004501,2,273,271,2,1,1,False,False,False,False
100004503,4,273,272,1,1,0,True,True,False,False
100004507,12,273,212,61,1,60,False,False,False,False
100004519,2,273,272,1,1,0,True,True,False,False
