anchor_p,actual_q,actual_offset,candidate_count,structural_survivor_count,structural_survivors,rule_x_survivor_count,rule_x_survivors,rule_x_true_rejected,lock_carrier,lock_carrier_offset,lock_carrier_d,lock_threat,lock_threat_offset,lock_threat_d,exact_survivor_count,exact_survivors,exact_unique_match
449,457,8,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],True,450,1,18,451,2,4,1,[8],True
457,461,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",20,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72]",False,458,1,4,529,72,3,1,[4],True
461,463,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],False,462,1,16,464,3,10,1,[2],True
463,467,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",0,[],True,464,1,10,465,2,8,1,[4],True
467,479,12,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,468,1,18,469,2,4,1,[12],True
479,487,8,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],True,480,1,24,481,2,4,1,[8],True
487,491,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,488,1,8,489,2,4,1,[4],True
491,499,8,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,492,1,12,493,2,4,1,[8],True
499,503,4,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,500,1,12,501,2,4,1,[4],True
503,509,6,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,504,1,24,505,2,4,1,[6],True
509,521,12,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],True,510,1,16,511,2,4,1,[12],True
521,523,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],False,522,1,12,524,3,6,1,[2],True
523,541,18,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",0,[],True,524,1,6,526,3,4,1,[18],True
541,547,6,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",False,542,1,4,,,,1,[6],True
547,557,10,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",1,[4],True,548,1,6,551,4,4,1,[10],True
557,563,6,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,558,1,12,559,2,4,1,[6],True
563,569,6,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,564,1,12,565,2,4,1,[6],True
569,571,2,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],False,570,1,16,572,3,12,1,[2],True
571,577,6,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,572,1,12,573,2,4,1,[6],True
577,587,10,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,578,1,6,579,2,4,1,[10],True
587,593,6,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,588,1,18,589,2,4,1,[6],True
593,599,6,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,594,1,16,595,2,8,1,[6],True
599,601,2,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],False,600,1,24,602,3,8,1,[2],True
601,607,6,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,602,1,8,603,2,6,1,[6],True
607,613,6,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,608,1,12,609,2,8,1,[6],True
613,617,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",False,614,1,4,,,,1,[4],True
617,619,2,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],False,618,1,8,622,5,4,1,[2],True
619,631,12,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,620,1,12,621,2,8,1,[12],True
631,641,10,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,632,1,8,633,2,4,1,[10],True
641,643,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",3,"[2, 6, 8]",False,642,1,8,649,8,4,1,[2],True
643,647,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",0,[],True,644,1,12,645,2,8,1,[4],True
647,653,6,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,648,1,20,649,2,4,1,[6],True
653,659,6,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,654,1,8,655,2,4,1,[6],True
659,661,2,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],False,660,1,24,662,3,4,1,[2],True
661,673,12,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",False,662,1,4,,,,1,[12],True
673,677,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",False,674,1,4,,,,1,[4],True
677,683,6,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,678,1,8,679,2,4,1,[6],True
683,691,8,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,684,1,18,685,2,4,1,[8],True
691,701,10,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,692,1,6,694,3,4,1,[10],True
701,709,8,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,702,1,16,703,2,4,1,[8],True
709,719,10,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,710,1,8,711,2,6,1,[10],True
719,727,8,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],True,720,1,30,721,2,4,1,[8],True
727,733,6,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,728,1,16,729,2,7,1,[6],True
733,739,6,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",29,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108]",False,734,1,4,841,108,3,1,[6],True
739,743,4,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,740,1,12,741,2,8,1,[4],True
743,751,8,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,744,1,16,745,2,4,1,[8],True
751,757,6,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,752,1,10,753,2,4,1,[6],True
757,761,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",23,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84]",False,758,1,4,841,84,3,1,[4],True
761,769,8,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,762,1,8,763,2,4,1,[8],True
769,773,4,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,770,1,16,771,2,4,1,[4],True
773,787,14,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,774,1,12,775,2,6,1,[14],True
787,797,10,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,788,1,6,789,2,4,1,[10],True
797,809,12,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,798,1,16,799,2,4,1,[12],True
809,811,2,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],False,810,1,20,812,3,12,1,[2],True
811,821,10,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,812,1,12,813,2,4,1,[10],True
821,823,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",3,"[2, 6, 8]",False,822,1,8,831,10,4,1,[2],True
823,827,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",2,"[4, 6]",False,824,1,8,831,8,4,1,[4],True
827,829,2,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],False,828,1,18,830,3,8,1,[2],True
829,839,10,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,830,1,8,831,2,4,1,[10],True
839,853,14,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],True,840,1,32,841,2,3,1,[14],True
853,857,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",2,"[4, 6]",False,854,1,8,862,9,4,1,[4],True
857,859,2,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],False,858,1,16,860,3,12,1,[2],True
859,863,4,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,860,1,12,861,2,8,1,[4],True
863,877,14,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,864,1,24,865,2,4,1,[14],True
877,881,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",23,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84]",False,878,1,4,961,84,3,1,[4],True
881,883,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],False,882,1,18,884,3,12,1,[2],True
883,887,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",0,[],True,884,1,12,885,2,8,1,[4],True
887,907,20,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,888,1,16,889,2,4,1,[20],True
907,911,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",2,"[4, 6]",False,908,1,6,913,6,4,1,[4],True
911,919,8,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,912,1,20,913,2,4,1,[8],True
919,929,10,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,920,1,16,921,2,4,1,[10],True
929,937,8,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],True,930,1,16,931,2,6,1,[8],True
937,941,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,938,1,8,939,2,4,1,[4],True
941,947,6,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,942,1,8,943,2,4,1,[6],True
947,953,6,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,948,1,12,949,2,4,1,[6],True
953,967,14,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,954,1,12,955,2,4,1,[14],True
967,971,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,968,1,12,969,2,8,1,[4],True
971,977,6,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,972,1,18,973,2,4,1,[6],True
977,983,6,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,978,1,8,979,2,4,1,[6],True
983,991,8,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,984,1,16,985,2,4,1,[8],True
991,997,6,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,992,1,12,993,2,4,1,[6],True
997,1009,12,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",False,998,1,4,,,,1,[12],True
